,Run,Gen,PC,Score,Score4
437,1.0,146.0,2.0,0.6,0.25
438,1.0,147.0,0.0,0.8,1.0
439,1.0,147.0,1.0,0.7,1.0
440,1.0,147.0,2.0,0.6,0.25
441,1.0,148.0,0.0,0.8,1.0
442,1.0,148.0,1.0,0.7,1.0
443,1.0,148.0,2.0,0.6,0.25
444,1.0,149.0,0.0,0.8,1.0
445,1.0,149.0,1.0,0.7,1.0
446,1.0,149.0,2.0,0.6,0.25
447,1.0,150.0,0.0,0.8,1.0
448,1.0,150.0,1.0,0.7,1.0
449,1.0,150.0,2.0,0.6,0.25
450,1.0,151.0,0.0,0.8,1.0
451,1.0,151.0,1.0,0.7,1.0
452,1.0,151.0,2.0,0.6,0.25
453,1.0,152.0,0.0,0.8,1.0
454,1.0,152.0,1.0,0.7,1.0
455,1.0,152.0,2.0,0.6,0.25
456,1.0,153.0,0.0,0.8,1.0
457,1.0,153.0,1.0,0.7,1.0
458,1.0,153.0,2.0,0.6,0.25
459,1.0,154.0,0.0,0.8,1.0
460,1.0,154.0,1.0,0.7,1.0
461,1.0,154.0,2.0,0.6,0.25
462,1.0,155.0,0.0,0.8,1.0
463,1.0,155.0,1.0,0.7,1.0
464,1.0,155.0,2.0,0.6,0.25
465,1.0,156.0,0.0,0.8,1.0
466,1.0,156.0,1.0,0.7,1.0
467,1.0,156.0,2.0,0.6,0.25
468,1.0,157.0,0.0,0.8,1.0
469,1.0,157.0,1.0,0.7,1.0
470,1.0,157.0,2.0,0.6,0.25
471,1.0,158.0,0.0,0.8,1.0
472,1.0,158.0,1.0,0.7,1.0
473,1.0,158.0,2.0,0.6,0.25
474,1.0,159.0,0.0,0.8,1.0
475,1.0,159.0,1.0,0.7,1.0
476,1.0,159.0,2.0,0.6,0.25
477,1.0,160.0,0.0,0.8,1.0
478,1.0,160.0,1.0,0.7,1.0
479,1.0,160.0,2.0,0.6,0.25
480,1.0,161.0,0.0,0.8,1.0
481,1.0,161.0,1.0,0.7,1.0
482,1.0,161.0,2.0,0.6,0.25
483,1.0,162.0,0.0,0.8,1.0
484,1.0,162.0,1.0,0.7,1.0
485,1.0,162.0,2.0,0.6,0.25
486,1.0,163.0,0.0,0.8,1.0
487,1.0,163.0,1.0,0.7,1.0
488,1.0,163.0,2.0,0.6,0.25
489,1.0,164.0,0.0,0.8,1.0
490,1.0,164.0,1.0,0.7,1.0
491,1.0,164.0,2.0,0.6,0.25
492,1.0,165.0,0.0,0.8,1.0
493,1.0,165.0,1.0,0.7,1.0
494,1.0,165.0,2.0,0.6,0.25
495,1.0,166.0,0.0,0.8,1.0
496,1.0,166.0,1.0,0.7,1.0
497,1.0,166.0,2.0,0.6,0.25
498,1.0,167.0,0.0,0.8,1.0
499,1.0,167.0,1.0,0.7,1.0
500,1.0,167.0,2.0,0.6,0.25
501,1.0,168.0,0.0,0.8,1.0
502,1.0,168.0,1.0,0.7,1.0
503,1.0,168.0,2.0,0.6,0.25
504,1.0,169.0,0.0,0.8,1.0
505,1.0,169.0,1.0,0.7,1.0
506,1.0,169.0,2.0,0.6,0.25
507,1.0,170.0,0.0,0.8,1.0
508,1.0,170.0,1.0,0.7,1.0
509,1.0,170.0,2.0,0.6,0.25
510,1.0,171.0,0.0,0.8,1.0
511,1.0,171.0,1.0,0.7,1.0
512,1.0,171.0,2.0,0.6,0.25
