,Run,Gen,PC,Score,Score4
563,91.0,188.0,2.0,0.592,0.655
564,91.0,189.0,0.0,0.616,0.675
565,91.0,189.0,1.0,0.588,0.63
566,91.0,189.0,2.0,0.592,0.655
567,91.0,190.0,0.0,0.62,0.665
568,91.0,190.0,1.0,0.588,0.63
569,91.0,190.0,2.0,0.588,0.655
570,91.0,191.0,0.0,0.624,0.675
571,91.0,191.0,1.0,0.588,0.63
572,91.0,191.0,2.0,0.584,0.65
573,91.0,192.0,0.0,0.632,0.685
574,91.0,192.0,1.0,0.592,0.635
575,91.0,192.0,2.0,0.588,0.65
576,91.0,193.0,0.0,0.632,0.685
577,91.0,193.0,1.0,0.592,0.635
578,91.0,193.0,2.0,0.588,0.65
579,91.0,194.0,0.0,0.632,0.68
580,91.0,194.0,1.0,0.596,0.64
581,91.0,194.0,2.0,0.588,0.645
582,91.0,195.0,0.0,0.632,0.685
583,91.0,195.0,1.0,0.592,0.635
584,91.0,195.0,2.0,0.584,0.64
585,91.0,196.0,0.0,0.636,0.69
586,91.0,196.0,1.0,0.588,0.63
587,91.0,196.0,2.0,0.592,0.645
588,91.0,197.0,0.0,0.642,0.69
589,91.0,197.0,1.0,0.598,0.645
590,91.0,197.0,2.0,0.594,0.645
591,91.0,198.0,0.0,0.642,0.69
592,91.0,198.0,1.0,0.598,0.645
593,91.0,198.0,2.0,0.594,0.645
594,91.0,199.0,0.0,0.644,0.7
595,91.0,199.0,1.0,0.596,0.645
596,91.0,199.0,2.0,0.588,0.64
597,91.0,200.0,0.0,0.644,0.7
598,91.0,200.0,1.0,0.596,0.645
599,91.0,200.0,2.0,0.588,0.64
600,91.0,201.0,0.0,0.644,0.7
601,91.0,201.0,1.0,0.596,0.645
602,91.0,201.0,2.0,0.588,0.64
603,91.0,202.0,0.0,0.648,0.7
604,91.0,202.0,1.0,0.592,0.645
605,91.0,202.0,2.0,0.592,0.645
606,91.0,203.0,0.0,0.64,0.7
607,91.0,203.0,1.0,0.592,0.655
608,91.0,203.0,2.0,0.592,0.66
609,91.0,204.0,0.0,0.64,0.7
610,91.0,204.0,1.0,0.592,0.655
611,91.0,204.0,2.0,0.592,0.66
612,91.0,205.0,0.0,0.64,0.7
613,91.0,205.0,1.0,0.596,0.66
614,91.0,205.0,2.0,0.588,0.655
615,91.0,206.0,0.0,0.634,0.695
616,91.0,206.0,1.0,0.598,0.66
617,91.0,206.0,2.0,0.586,0.66
618,91.0,207.0,0.0,0.634,0.695
619,91.0,207.0,1.0,0.598,0.66
620,91.0,207.0,2.0,0.586,0.66
621,91.0,208.0,0.0,0.634,0.695
622,91.0,208.0,1.0,0.598,0.66
623,91.0,208.0,2.0,0.586,0.66
624,91.0,209.0,0.0,0.634,0.69
